cpt_slug,post_title,tax_categorias_empreendimentos,tax_tipo_atrativo,tax_rotas_turisticas,resumo_historico,endereco_localizacao,entrada,horario_de_visitacao,guia_necessario,subtitulo_slogan,endereco_completo,telefone_whatsapp,instagram,site_oficial,horario_de_funcionamento,comodidades,destaque_na_home,data_de_inicio,sobre_o_evento,data_de_fim,local_do_evento,valor_do_ingresso,link_de_inscricao_compra,organizador
atrativos,"APA do Rio Iguaçu",,"Flora e Unidades de Conservação",,"A APA do Rio Iguaçu margeia o Rio Iguaçu desde a nascente no marco zero, localizado nas divisas de Curitiba, São José dos Pinhais, Pinhais, Piraquara e Quatro Barras, até encontrar os limites do Parque Nacional do Iguaçu, no Município de Capanema. Também chamada de 'Corredor da Vida', a APA abrange a planície de inundação do Rio Iguaçu, incluindo as matas ciliares, os banhados, as várzeas e as ilhas, bem como as áreas de preservação.","Região norte do município (divisa com Curitiba), S/N, Orleans, São José dos Pinhais, PR, Brasil, 83000-000","Gratuita","Consultar","Não",,,,,,,,,,,,,,,
atrativos,"APA do Rio Pequeno",,"Flora e Unidades de Conservação",,"A APA do Rio Pequeno está localizada na área de manancial da bacia hidrográfica do Rio Pequeno, abrangendo aproximadamente seis mil e duzentos hectares. Criada durante o governo do Paraná no mandato de Jaime Lerner, seu objetivo é proteger e conservar a qualidade ambiental e os sistemas naturais, especialmente a qualidade e a quantidade da água para abastecimento público. A delimitação da APA não estava disponível no Google Maps no momento do inventário, mas está registrada no Mapa Turístico de São José dos Pinhais.","Área de manancial da bacia hidrográfica do Rio Pequeno, S/N, Bairro Rio Pequeno, São José dos Pinhais, PR, Brasil, 83000-000","Gratuita","Consultar","Não",,,,,,,,,,,,,,,
atrativos,"APA Guaratuba",,"Flora e Unidades de Conservação",,"Criada em 1992, a APA de Guaratuba possui aproximadamente 200 mil hectares, sendo 11,5% dessa área pertencente a São José dos Pinhais. A área completa abrange os municípios de Guaratuba (65,61%), Tijucas do Sul (9,24%), Morretes (6,43%), Paranaguá (5,69%) e Matinhos (1,78%). Inclui também as águas interiores, ilhas situadas na baía de Guaratuba, ilhas fluviais e a ilha do Sai-Guaçu. Seu objetivo é proteger a rede hídrica, os remanescentes da Floresta Atlântica e os manguezais, disciplinar o uso turístico, conservar a fauna, flora e os sítios arqueológicos.","Bacia do Rio São João (divisa com Guaratuba), S/N, Colônia Castelhanos, São José dos Pinhais, PR, Brasil, 83000-000","Gratuita","Consultar","Não",,,,,,,,,,,,,,,
atrativos,"Parque Nacional Guaricana",,"Flora e Unidades de Conservação",,"O Parque Nacional Guaricana abrange uma área de aproximadamente 49.300 hectares, criado para preservar remanescentes das florestas ombrófila densa e mista. Estas florestas são adaptadas a ambientes com alta pluviosidade, geralmente acima de 1.500 mm de chuva por ano. A preservação inclui flora, fauna, recursos hídricos, geológicos, geomorfologia e paisagens naturais. No parque, encontram-se espécies como a imbuia, canelas, mogno, cedro, ervas-mate e palmito jussara. As áreas necessárias para a operação da Usina Hidrelétrica de Guaricana estão fora do parque. Embora tenha potencial turístico, o parque carece de trilhas sinalizadas e infraestrutura, sendo recomendada a visitação com guias experientes.","Parque Nacional Guaricana, S/N, Colônia Castelhanos, São José dos Pinhais, PR, Brasil, 83000-000","Gratuita","Consultar","Sim",,,,,,,,,,,,,,,
atrativos,"Cachoeira Arco-íris",,"Água",,"A Cachoeira Arco-íris é uma das belas quedas do Rio Castelhanos, localizada na zona norte da Colônia Castelhanos. Este atrativo natural oferece uma experiência única de contato com a natureza e a Mata Atlântica. A cachoeira é acessível com a ajuda de moradores locais que atuam como guias. A natureza ao redor é bem conservada, e recomenda-se o uso de roupas adequadas para trilhas, repelentes e botas para proteção contra cobras. O local é isolado, exigindo o acompanhamento de pessoas que conheçam bem a área para garantir a segurança dos visitantes.","Percurso do Rio Castelhanos, S/N, Colônia Castelhanos, São José dos Pinhais, PR, Brasil, 83000-000","Gratuita","Consultar","Sim",,,,,,,,,,,,,,,
atrativos,"Cachoeira dos Ciganos",,"Água",,"A Cachoeira dos Ciganos, localizada em propriedade particular, é uma das cachoeiras mais apreciadas e famosas da região, com cerca de 60m de altura e imersa em mata preservada. Suas rochas são inclinadas e escorregadias, oferecendo uma experiência única de contato com a natureza. O local possui uma área reservada para camping e trailers, garantindo segurança em caso de chuva. Todas as visitas devem ser previamente agendadas. É um destino procurado por amantes de camping selvagem e caminhadas guiadas, especialmente por escolas e universidades.","Estrada Velha da Guaricana (direção Barragem Guaricana), S/N, Colônia Santos Andrade, São José dos Pinhais, PR, Brasil, 83000-000","Consultar","Agendamento prévio necessário","Sim",,,,,,,,,,,,,,,
atrativos,"Cachoeira dos Fornos",,"Água",,"A Cachoeira dos Fornos, situada dentro da Fazenda Catas Altas, é composta por dois saltos e pequenas possas relaxantes entre eles. Este é um local de tranquilidade em meio à natureza, ideal para aproveitar as visitas aos restos históricos dos fornos de carvão vegetal.","Fazenda Catas Altas, S/N, Papanduva, São José dos Pinhais, PR, Brasil, 83000-000","Consultar","Consultar","Não",,,,,,,,,,,,,,,
atrativos,"Cachoeira Ribeirão do Gemido",,"Água",,"Embora seja chamada de cachoeira, esse atrativo é na verdade uma pequena queda d'água localizada próximo à Vinícola Araucária. Oferece uma experiência de tranquilidade junto à natureza para os visitantes que estão hospedados ou participando de passeios na vinícola.","Rua Aparecida Góes de Paula, 1300, Avencal, São José dos Pinhais, PR, Brasil, 83185-000","Gratuita","Consultar","Não",,,,,,,,,,,,,,,
atrativos,"Lagoa Azul da Pedreira Malhada",,"Água",,"A Lagoa Azul da Pedreira Malhada está localizada onde funcionava uma antiga área de mineração. Durante a atividade minerária, a empresa drenava a água do subsolo para não comprometer suas atividades. Após o encerramento da mineração, a drenagem cessou e, com o passar do tempo, o aquífero retomou o seu nível natural, formando a lagoa azul. A lagoa é o resultado do acúmulo das águas de chuva e do afloramento natural do lençol de água na região onde outrora havia a mineração. O lugar faz parte da rota de muitos ciclistas que apreciam o passeio pela região. A lagoa pode apresentar diferentes colorações dependendo da hora do dia, proporcionando belas fotografias, especialmente em dias de sol. Além de sua beleza cênica, o local é ideal para estudos de campo sobre atividade minerária, formações rochosas e recuperação de áreas degradadas.","Rua Rosalia G Ryndack, S/N, Colônia Malhada, São José dos Pinhais, PR, Brasil, 83000-000","Gratuita","Consultar","Não",,,,,,,,,,,,,,,
atrativos,"Prainha da Barragem Guaricana",,"Água",,"A Prainha da Barragem Guaricana é uma pequena praia formada às margens do Rio Arraial, localizada a 800 metros da Barragem Guaricana. Este local isolado é bastante tranquilo e é apreciado como um ponto de pescaria. Os visitantes devem estar preparados para um ambiente natural, pois não há estrutura disponível, como banheiros ou restaurantes. É importante que os visitantes tragam seu lixo de volta para preservar a beleza natural do local.","Estrada Velha da Guaricana (Represa Guaricana), S/N, Colônia Santos Andrade, São José dos Pinhais, PR, Brasil, 83000-000","Gratuita","Consultar","Não",,,,,,,,,,,,,,,
