Nome,Volume,Num Pagina,Numeração,Categ_atrativo,N° da Subcategoria,N° de Entrada,Categoria,Subcategoria,Localização,Bairro/Colônia,CEP,GPS,Descrição,Descrição2,Área,Celular/Whatsapp,Telefone Fixo/whatsapp,Tombado,Proprietário/Responsável,email,Midias Sociais,website,Reserva,Horário,"Observações, Serviços e Equipamentos",Acessibilidade,Como chegar,Destaque,Data de inauguração,Estacionamento,Capacidade máxima,Restrições,Especialidade,Receitas autorais,Cadastur,N° de Leitos solteiros,N° de Leitos casais,N° de unidades habitacionais,Autoria
APA do Rio Iguaçu,Volume I,36,1,1,1,1,Atrativos Naturais,Flora e Unidades de Conservação,"Região norte do município, na divisa com a cidade  de Curitiba.",Orleans,,"-25.504862014711964, -49.19460163458918","A APA margeia o Rio Iguaçu, desde a nascente no marco zero localizado nas divisas de  Curitiba, São José dos Pinhais, Pinhais, Piraquara e Quatro Barras, até encontrar os limites do Parque Nacional do Iguaçu, no Município de Capanema.","Também chamada de “Corredor da Vida”, a  APA  abrange a planície de inundação do Rio Iguaçu, incluindo as matas ciliares, os banhados, as várzeas e as  ilhas, bem como as áreas de preservação.",Urbana,,,-,-,-,-,-,-,-,,O pricipal ponto de acesso é através o Parque São José.,"Considerando o Parque São José como referência: 5,5 Km até o aeroporto; 3 Km até o centro; 7 Km até a BR 277.",,2015,,,,,,Não,,,,
APA do Rio Pequeno,Volume I,37,2,1,1,2,Atrativos Naturais,Flora e Unidades de Conservação,"Ao leste da  Região Metropolitana de Curitiba,
abrange parte do município de São José dos Pinhais.","Área  Rural do Curralinho, Acioli, e Mergulhão.",,"-25.570437789002792, -49.10592315097149 (essa localização é do Rio Pequeno no Caminho do Vinho.","Localiza-se na área de manancial da bacia hidrográfica do Rio Pequeno e possui aproximadamente seis mil e duzentos hectares. Foi criada durante pelo governo do paraná no mandato de Jaime Lerner, com o objetivo de proteger e conservar a qualidade ambiental e os sistemas naturais ali existentes, especialmente a qualidade e a quantidade da água para fins de abastecimento público.",A delimitação da APA não apareceu no Google Maps no momento em que este inventário foi realizado. A APA está registrada no Mapa Turístico de Sâo José dos Pinhais produzido à partir deste inventário.,Rural,,,,-,-,-,-,-,-,-,,A APA corresponde à área do manancial do Rio Pequeno. Na localização  citada neste inventário  consta o acesso ao  rio à patir do Caminho do Vinho,-,1996,-,-,-,-,-,Não,,,,
APA Guaratuba,Volume I,38,3,1,1,3,Atrativos Naturais,Flora e Unidades de Conservação,"Na Colônia Castelhanos. divisa com Guaratuba, Bacia do Rio São João.",Colônia Castelhanos,,"-25.810692034479285, -48.889878674367566","Criada em 1992, a APA de Guaratuba possui aproximadamente 200 mil hectares, sendo 11,5% dessa área pertencente à São José dos Pinhais. A área completa abrange os municípios de  Guaratuba (65,61%, Tijucas do Sul (9,24%), Morretes (6,43%), Paranaguá (5,69%) e Matinhos (1,78%).","Inclui também as águas interiores, ilhas situadas na baía de Guaratuba, ilhas fluviais e a ilha do Sai-Guaçu.  Seu objetivo é proteger a rede hídrica, os remanescentes da Floresta Atlântica e os manguezais, disciplinar o uso turístico, conservar a fauna, flora e os sítios arqueológicos.",Rural,,,-,-,-,-,-,-,-,-,-,"Ao Sudeste do municipio, através da  Colônia Castelhanos que pode ser acessada pela BR 376 (sentido de Santa Catarina). Entrar à esquerda  após o segundo  posto da Polícia Federal (Guaratuba). Seguir cerca de 17 Km por estrada até atingir o Rio São João. Dentro da  colõnia, seguir até a  divisa com Guaratuba, na Bacia do Rio São João.",-,1992,,,,,,Não,,,,
Parque Nacional Guaricana,Volume I,39,4,1,1,4,Atrativos Naturais,Flora e Unidades de Conservação,Dentro da Colônia Castelhanos.,Colônia Castelhanos,,"-25.76186002609111, -48.939819489120566","Possui uma área de aproximadamente  49.300 hectares. O parque foi criado com o objetivo de garantir a preservação de remanescentes das chamadas florestas ombrófila densa e floresta ombrófila mista. O termo ""ombrófila"" refere-se à vegetação adaptada a ambientes com alta pluviosidade, geralmente acima de 1.500 mm de chuva por ano.","A`preservação também  inclui flora, fauna, recursos hídricos e geológicos, geomorfologia e paisagens naturais associadas.",Rural,,,,,-,-,-,-,-,"No parque, podem ser encontradas diversas espécies de árvores, como a imbuia (Bulnesia sarmientoi), as canelas (Drymis brasiliensis), o mogno (Swietenia macrophylla), o cedro (Cedrela odorata), além de ervas-mate (Ilex paraguariensis) e o palmito jussara (Euterpe edulis).",-,"Ao Sudeste do Municipio, na Colônia Castelhanos, divisa com os municípios de Guaratuba e Morretes. 70 Km até o aeroporto;  71 Km até o centro; 15 Km até a BR 376.",As áreas necessárias a operação e manutenção da Usina Hidrelétrica de  Guaricana estão fora da área do parque,2014,-,-,"Embora tenha grande potencial turístico, o parque carece de trilhas sinalizadas e infraestrutura para turistas. Muitas áreas do parque são de difícil acesso, exigindo equipamentos e experiência em trilhas. Recomenda-se a visitação com guias experientes na região.",-,-,Não,,,,
Capa ,Volume I,40,,,,,,Água,,,,,,,,,,,,,,,,,,,,,,,,,,,Não,,,,
Cachoeira Arco-íris,Volume I,41,5,1,2,1,Atrativos Naturais,Água,"No percurso do Rio Castelhanos, na zona norte da Colônia Castelhanos.",Colônia Castelhanos,,"-25.77058375005051, -48.93964444907304",A cachoeira é formada por uma das quedas do   Rio Castelhanos que percorre a colônia. Pode ser acessada com a ajuda de moradores que atuam com guias.,,Rural,,,Não,-,-,www.youtube.com/watch?v=LmDDtyFBTbY,,Recomendsa-se perdir permissão do proprietário para visitar a cachoeira.,-,"A natureza local é  bastante conservada. Recomenda-se uso de  roupas adequadas para  trilhas, repelentes e botas para proteção contra cobras  e atenção em todas as trilhas. Local isolado, requer o acompanhamento de pessoas que conheçam o local, por segurança.",Acesso mediante permissão dos proprietários. Requer acompanhamento de guias  que saibam andar na mata.,72 Km até o aeroporto;  71 Km até o centro; 17 Km até a BR 376.,"Beleza cênica, contato com  natureza,  experiência na Mata Atlântica.",-,-,-,,-,,Não,,-,-,-
Cachoeira dos Ciganos,Volume I,42,6,1,2,2,Atrativos Naturais,Água,Estrada velha da Guaricana direção a Barragem Guaricana; aflurente do rio Arraial.,Calônia Santos Andrade,,"-25.73245135662421, -49.01759558279589","Localizada em propriedade particular, aberta ao público mediante agendamento. É uma das cachoeiras mais apreciadas e famosas da região. Possui cerca de 60m de altura e está imersa em mata preservada. Suas rochas são bem inclinadas e escorregadias.","Possui área reservada para camping  e traillers do outro lado da entrada, distante da cachoeira, o que confere segurança em caso de chuva na região. Todas as visitas devem ser previamente agendados.",Rural,,(41) 3180-0224,Não,,contato@cachoeiradosciganos.com.br,,www.cachoeiradosciganos.com.br,Entrada adquirida no local. Requer agendamento prévio.,-,"O local é procurado por pessoas que gostam de camping selvagem, adeptos de trailer e kombi-homes. Oferece caminhadas com guias para turmas de escolas e universidades. Está localizada entre a Usina da Chaminé e a Represa da Guaricana.",Mediante permissão e agendamento com o proprietário.,Propriedade particular com acesso  à partir da BR 376 através da Estrada Velha da Guaricana. A trilha começa onde a estrada cruza o afluente do Rio Arraial e possui cerca de 800 m de comprimento. 47 Km até o aeroporto;  46 Km até o centro; 22 Km até a BR 376.,"Beleza cênica, natureza exuberante,  contato com a Mata Atlântica.",-,Sim,-,Visitas somente com agendamento prévio.,-,,Não,,,,
Cachoeira dos Fornos,Volume I,43,7,1,2,3,Atrativos Naturais,Água,Dentro da Fazenda Catas Altas,Papanduva,,"-25.631364332139558, -48.98628761718716","A cachoeira, localizada  dentro da fazenda Catas Altas, esta composta de dois saltos, onde no espaço intermedio tem umas pequenas possas bem relaxantes. Um paisagem de tranquilidade junto à natureza, aproveitando as visitas aos retos históricos dos fornos de carvão vegetal.",,Rural,(41)9 9915-2211,,-,Fazenda Catas Altas,-,-,-,-,-,-,"Desde a casa ate a cachoeira tem uma pequena trilha de uns 200 m. com bastante declive, e pontos escorregadios.",28 Km até o aeroporto; 28 Km até o centro; 10 Km até a Br 277,-,-,Antes do portão.,-,É necessário pedir permissão ao proprietário,-,-,Não,,,,
Cachoeira Ribeirão do Gemido,Volume I,44,8,1,2,4,Atrativos Naturais,Água,Dentro da Vinícula  Araucária localizada  na Rua Aparecida Góes de Paula 1300.,Avencal,,"-25.655943281802383, -49.06739656748943","Embora seja chamada de cachoiera, esse atrativo na verdade é  uma pequena queda d´água localizada próximo à Vinícola Araucária. Oferece uma experiência de tranquilidade junto à natureza para os visitantes que estão hospedados ou participando de passeios na vinícola.",,Rural,,,-,Vinícola Araucária,-,-,-,-,-,-,-,"De acordo com o site mapcarta.com: 29 Km até o aeroporto; 28 Km até o centro; 10,5 Km até a BR 376.",-,-,Da própria vinícola.,-,-,-,-,Não,,,,
Lagoa Azul da Pedreira Malhada,Volume I,45,9,1,2,5,Atrativos Naturais,Água,Rua Rosalia G Ryndack,Malhada,,"-25.661111116294357, -49.087359128660296","Está localizada onde funcionava uma antiga área de mineração. Durante a atividade minerária, a empresa drenava a água do subsolo  para não comprometer suas atividades. Após o encerramento da mineração, a drenagem cessou e, com o passar do tempo,  o aquífero retomou o seu nível natural, formando a lagoa azul.",A lagoa é o resultado do acúmulo das águas de chuva e do afloramento natural do lençol de água  na região onde outrora havia a  mineração. O lugar faz parte da rota de muitos ciclistas que apreciam o passeio pela região.,Rural,,,-,-,-,-,-,-,-,A lagoa pode apresentar diferentes colorações dependendo da hora do dia. O local proporciona belas fotografias particularmente em dias de sol.,,25 Km até o aeroporto; 24 Km até o aeroporto; 8 Km até a BR 376.,"Beleza cênica;  local proporciona  estudos  de campo sobre atividade minerária, formações rochosas, recuperação de áreas degradadas.",-,-,-,-,-,-,Não,,,,
