cpt_slug,tax_rotas_turisticas,tax_tipo_atrativo,tax_categorias_empreendimentos,pods_resumo_historico,pods_endereco_localizacao,pods_entrada,pods_horario_de_visitacao,pods_guia_necessario,pods_subtitulo_slogan,pods_endereco_completo,pods_telefone_whatsapp,pods_instagram,pods_site_oficial,pods_horario_de_funcionamento,pods_comodidades,pods_destaque_na_home,pods_data_de_inicio,pods_sobre_o_evento,pods_data_de_fim,pods_local_do_evento,pods_valor_do_ingresso,pods_link_de_inscricao_compra,pods_organizador,pods_historia_completa,post_title
atrativos,,Atrativos Rurais,,"A APA margeia o Rio Iguaçu, desde a nascente no marco zero localizado nas divisas de Curitiba, São José dos Pinhais, Pinhais, Piraquara e Quatro Barras, até encontrar os limites do Parque Nacional do Iguaçu, no Município de Capanema. Também chamada de “Corredor da Vida”, a APA abrange a planície de inundação do Rio Iguaçu, incluindo as matas ciliares, os banhados, as várzeas e as ilhas, bem como as áreas de preservação.","Região norte do município, na divisa com a cidade de Curitiba.",,,false,,"Região norte do município, na divisa com a cidade de Curitiba.",,,,,,,,,,,,,,,APA do Rio Iguaçu
atrativos,Caminho do Vinho,Atrativos Rurais,,"Localiza-se na área de manancial da bacia hidrográfica do Rio Pequeno e possui aproximadamente seis mil e duzentos hectares. Foi criada durante pelo governo do paraná no mandato de Jaime Lerner, com o objetivo de proteger e conservar a qualidade ambiental e os sistemas naturais ali existentes, especialmente a qualidade e a quantidade da água para fins de abastecimento público. A delimitação da APA não apareceu no Google Maps no momento em que este inventário foi realizado. A APA está registrada no Mapa Turístico de Sâo José dos Pinhais produzido à partir deste inventário.","Ao leste da Região Metropolitana de Curitiba, abrange parte do município de São José dos Pinhais.",,,false,,"Ao leste da Região Metropolitana de Curitiba, abrange parte do município de São José dos Pinhais.",,,,,,,,,,,,,,,APA do Rio Pequeno
atrativos,Caminho da Colônia Murici,Atrativos Rurais,,"Criada em 1992, a APA de Guaratuba possui aproximadamente 200 mil hectares, sendo 11,5% dessa área pertencente à São José dos Pinhais. A área completa abrange os municípios de Guaratuba (65,61%), Tijucas do Sul (9,24%), Morretes (6,43%), Paranaguá (5,69%) e Matinhos (1,78%). Inclui também as águas interiores, ilhas situadas na baía de Guaratuba, ilhas fluviais e a ilha do Sai-Guaçu. Seu objetivo é proteger a rede hídrica, os remanescentes da Floresta Atlântica e os manguezais, disciplinar o uso turístico, conservar a fauna, flora e os sítios arqueológicos.","Na Colônia Castelhanos. divisa com Guaratuba, Bacia do Rio São João.",,,false,,"Na Colônia Castelhanos. divisa com Guaratuba, Bacia do Rio São João.",,,,,,,,,,,,,,,APA Guaratuba
atrativos,Rota das Colônias,Atrativos Rurais,,"Possui uma área de aproximadamente 49.300 hectares. O parque foi criado com o objetivo de garantir a preservação de remanescentes das chamadas florestas ombrófila densa e floresta ombrófila mista. O termo ""ombrófila"" refere-se à vegetação adaptada a ambientes com alta pluviosidade, geralmente acima de 1.500 mm de chuva por ano. A preservação também inclui flora, fauna, recursos hídricos e geológicos, geomorfologia e paisagens naturais associadas. As áreas necessárias a operação e manutenção da Usina Hidrelétrica de Guaricana estão fora da área do parque.",Dentro da Colônia Castelhanos.,,,true,,Dentro da Colônia Castelhanos.,,,,,"Trilhas, Visita Guiada",,,,,,,,,,Parque Nacional Guaricana
atrativos,,Atrativos Rurais,,,,,,false,,,,,,,,,,,,,,,,,Capa
atrativos,Rota das Colônias,Atrativos Rurais,,"A cachoeira é formada por uma das quedas do Rio Castelhanos que percorre a colônia. Pode ser acessada com a ajuda de moradores que atuam com guias. Beleza cênica, contato com natureza, experiência na Mata Atlântica.","No percurso do Rio Castelhanos, na zona norte da Colônia Castelhanos.",,,true,,"No percurso do Rio Castelhanos, na zona norte da Colônia Castelhanos.",,www.youtube.com/watch?v=LmDDtyFBTbY,,,"Trilhas, Visita Guiada",,,,,,,,,,Cachoeira Arco-íris
atrativos,,Atrativos Rurais,,"Localizada em propriedade particular, aberta ao público mediante agendamento. É uma das cachoeiras mais apreciadas e famosas da região. Possui cerca de 60m de altura e está imersa em mata preservada. Suas rochas são bem inclinadas e escorregadias. Possui área reservada para camping e traillers do outro lado da entrada, distante da cachoeira, o que confere segurança em caso de chuva na região. Todas as visitas devem ser previamente agendados. Beleza cênica, natureza exuberante, contato com a Mata Atlântica.",Estrada velha da Guaricana direção a Barragem Guaricana; aflurente do rio Arraial.,,,true,,Estrada velha da Guaricana direção a Barragem Guaricana; aflurente do rio Arraial.,4131800224,,www.cachoeiradosciganos.com.br,,"Estacionamento, Área para camping, Trilhas, Visita Guiada",,,,,,,,,,Cachoeira dos Ciganos
atrativos,,Atrativos Rurais,,"A cachoeira, localizada dentro da fazenda Catas Altas, está composta de dois saltos, onde no espaço intermediário tem umas pequenas possas bem relaxantes. Um paisagem de tranquilidade junto à natureza, aproveitando as visitas aos restos históricos dos fornos de carvão vegetal.",Dentro da Fazenda Catas Altas,,,true,,Dentro da Fazenda Catas Altas,41999152211,,,,"Estacionamento, Trilhas",,,,,,,,,,Cachoeira dos Fornos
atrativos,,Atrativos Rurais,,"Embora seja chamada de cachoeira, esse atrativo na verdade é uma pequena queda d'água localizada próximo à Vinícola Araucária. Oferece uma experiência de tranquilidade junto à natureza para os visitantes que estão hospedados ou participando de passeios na vinícola.",Dentro da Vinícula Araucária localizada na Rua Aparecida Góes de Paula 1300.,,,false,,Dentro da Vinícula Araucária localizada na Rua Aparecida Góes de Paula 1300.,,,,,Estacionamento,,,,,,,,,,Cachoeira Ribeirão do Gemido
atrativos,,Atrativos Rurais,,"Está localizada onde funcionava uma antiga área de mineração. Durante a atividade minerária, a empresa drenava a água do subsolo para não comprometer suas atividades. Após o encerramento da mineração, a drenagem cessou e, com o passar do tempo, o aquífero retomou o seu nível natural, formando a lagoa azul. A lagoa é o resultado do acúmulo das águas de chuva e do afloramento natural do lençol de água na região onde outrora havia a mineração. O lugar faz parte da rota de muitos ciclistas que apreciam o passeio pela região.",Rua Rosalia G Ryndack,,,false,"Beleza cênica; local proporciona estudos de campo sobre atividade minerária, formações rochosas, recuperação de áreas degradadas.",Rua Rosalia G Ryndack,,,,,,,,,,,,,,,Lagoa Azul da Pedreira Malhada
atrativos,,Atrativos Rurais,,"Pequena praia formada às margens do Rio Arraial, a 800 m da Barragem Guaricana. O local é isolado, bastante tranquilo e apreciado como local de pescaria. Lugar tranquilo para pescar.",Seguir a Estrada Velha do Guaricana até a Represa Guarinaca no Rio Arraial. O local fica a 800m da Barragem Guaricana.,Consultar,,false,,Seguir a Estrada Velha do Guaricana até a Represa Guarinaca no Rio Arraial. O local fica a 800m da Barragem Guaricana.,,,,,,,,,,,,,,,Prainha da Barragem Guaricana
atrativos,Caminho do Vinho,Atrativos Rurais,,"São cerca de 5 quedas sequenciais, rodeadas por mata fechada e morros em aclive acentuado. Ao longo da trilha podem ser observadas diversas espécies vegetais típicas da Mata Atlântica, incluindo xaxins e bromélias. A cachoeira se encontra na área da empresa Panagro Empreendimentos Florestais e por isso passou a ser conhecida como ""Quedas ou Cachoeira da Panagro"". É um local tradicionalmente apreciado pela beleza das quedas d'água e pela vegetação.",Rua Guilherme Moreno,Consultar,,true,"Beleza cênica, natureza exuberante, experiência na Mata Atlântica.",Rua Guilherme Moreno,,https://www.youtube.com/watch?v=_onBQSbm2kY,,,Acessibilidade,,,,,,,,,,Quedas d'água do Córrego Fundo
atrativos,,Atrativos Rurais,,"Também conhecida por ""Salto do Ribeirão do Meio"" e ainda ""Cachoeira do Turco"", nome que se refere a um antigo proprietário. Está localizada em área particular e faz parte da transição rochosa para a Serra do Mar. A cachoeira tem cerca de 90 metros de altura e está localizada próxima à Serra da Campininha. Há uma trilha relativamente fácil, que leva até o Morro da Campininha. Recomenda-se estar acompanhado por guias experientes que conheçam bem a região.",Rua Demétrio João Kotzias,,,true,"Beleza cênica, natureza exuberante, experiência na Mata Atlântica.",Rua Demétrio João Kotzias,,,,,Trilhas,,,,,,,,,,Salto da Malhada
atrativos,,Atrativos Rurais,,,,,,false,,,,,,,,,,,,,,,,,Item_Sem_Nome
atrativos,Destinos do Campo,Atrativos Rurais,,"Localizado a 1.331m de altitude, o ponto mais alto do município está situado na Serra da Campininha, que, por sua vez, faz parte da Serra do Mar, uma importante cadeia de montanhas que se estende ao longo do litoral brasileiro, especialmente nos estados do Paraná, São Paulo e Rio de Janeiro.","Pico mais alto do Municipio, localizado na Serra da Campininha ao Sudeste do Municipio.",Consultar,,false,,"Pico mais alto do Municipio, localizado na Serra da Campininha ao Sudeste do Municipio.",,,,,,,,,,,,,,,Alto de São José
atrativos,,Atrativos Rurais,,"Também conhecido como “mirante do Morro da Embratel"" ou ""mirante do Morro Redondo”, por estar localizado onde se encontrava a antiga torre de telecomunicações da Embratel. O mirante possibilita uma vista panorâmica da área rural até o litoral em dias de céu limpo. Faz parte do Complexo da Serra do Mar juntamente com o próprio Morro Redondo, porém, esse encontra-se no município de Tijucas do Sul enquanto o Mirante está em São José dos Pinhais. É um local muito apreciado por praticantes de mountain bike e ecoturismo.",Acesso a partir da Estrada Velha da Guaricana.,Consultar,,true,,Acesso a partir da Estrada Velha da Guaricana.,,,,,"Estacionamento, Trilhas",,,,,,,,,,Mirante para o Morro Redondo
atrativos,,Atrativos Rurais,,"A Serra da Campininha é uma importante formação geográfica no município tanto do ponto de vista ecológico quanto turístico. Faz parte da formação montanhosa da Serra do Mar, uma cadeia de montanhas que se estende ao longo do litoral do Brasil, especialmente nos estados do Paraná, São Paulo e Rio de Janeiro. O local possui rica biodiversidade, é uma importante área de captação natural de água de chuva e proporciona uma bela vista da região.",No sudeste do municipio. Na divisa entre o Planalto e os vales do litoral. Faz parte da Serra do Mar.,,,false,,No sudeste do municipio. Na divisa entre o Planalto e os vales do litoral. Faz parte da Serra do Mar.,,,,,Estacionamento,,,,,,,,,,Serra da Campininha
,,,,,,,,false,,,,,,,,,,,,,,,,,Item_Sem_Nome
atrativos,,Atrativos Rurais,,"O mirante permite o avistamento da área de abrangêcia da Barragem do Rio Miringuava. A barragem é uma obra da empresa de saneamento Sanepar construída com o objetivo de regular o fluxo de água do rio Miringuava, controlar enchentes e armazenar água para abastecimento público. A represa estava em fase de construção durante a realização deste inventário.",A 2 Km da Vinícula Araucária,,,false,,A 2 Km da Vinícula Araucária,,,,,,,,,,,,,,,Mirante da Barragem Miringuava
